class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,8854.97,9.00,8.00,25.00,112.11,169.85,18.00,0.83081,980.83,2545.14,2539.69,122.338,151.011,3.00,39.2276,0.909242,209.00,0.5,0.00,58.5092,54.9242,1.02849
2,15109.8,1.00,8.00,17.00,84.92,196.51,22.5,0.996974,718.389,2575.82,4120.15,226.618,259.673,5.00,42.2535,0.923856,190.00,0.65,0.00,74.966,48.8729,1.02539
2,9126.01,4.00,11.00,26.00,158.9,203.24,34.5,0.682371,1209.42,2806.43,2609.86,195.945,213.279,5.00,46.5104,0.91401,356.00,0.318182,2.10167,77.0825,54.3949,1.02658
2,6275.58,1.00,7.00,15.00,166.31,160.55,25.5,0.849352,640.551,1755.17,1796.25,183.852,222.094,5.00,42.6987,0.903381,168.00,0.619048,0.8,67.9432,65.2767,1.03866
2,3747.51,1.00,11.00,23.00,67.03,162.32,16.5,0.676656,580.974,1273.96,1058.46,174.172,197.507,7.00,25.2543,0.912648,183.00,0.646465,2.00,60.6539,55.4414,1.03013
2,12072.2,3.00,16.00,35.00,108.28,169.01,31.5,0.814307,1294.38,3460.78,3496.25,153.811,176.764,7.00,36.9783,0.893953,297.00,0.535119,1.80167,82.5868,73.0504,1.0312
2,4485.98,5.00,12.00,29.00,91.1,130.54,42.00,0.557924,914.856,1671.48,1268.73,120.145,135.594,4.00,31.5414,0.890266,292.00,0.433333,2.41,70.0151,66.861,1.03545
2,10057.9,10.00,11.00,32.00,124.3,184.58,24.00,0.662413,1534.61,3320.08,2894.78,141.67,159.207,2.00,47.9519,0.916787,360.00,0.272727,2.575,63.6373,51.108,1.01822
2,45107.4,1.00,6.00,13.00,288.87,241.13,75.00,1.25944,1018.71,4464.56,12374.1,322.394,421.663,4.00,78.3577,0.912463,140.00,0.5,1.702,85.4324,61.8607,1.02313
2,22069.2,1.00,7.00,15.00,118.77,391.57,49.5,1.01767,899.635,3042.26,5935.59,417.716,458.179,5.00,59.9707,0.923988,144.00,0.571429,1.745,68.8318,64.4028,1.03132
2,20169.4,1.00,11.00,23.00,158.01,368.78,69.00,0.879416,1161.76,3347.49,5574.7,409.917,489.729,7.00,50.5074,0.919272,191.00,0.62987,0.815,80.4657,72.1546,1.0187
2,10827.1,1.00,8.00,17.00,184.75,270.53,67.5,0.989528,977.439,2907.63,3191.12,306.725,344.808,6.00,57.4918,0.937098,152.00,0.708333,1.94667,75.988,83.9302,1.02003
2,29011.00,1.00,6.00,13.00,153.75,398.1,69.00,1.00903,872.463,2998.86,7620.44,415.292,515.128,4.00,67.1077,0.918427,150.00,0.555556,0.00,68.6223,68.3782,1.01993
2,30421.9,1.00,8.00,17.00,104.49,443.78,36.00,0.979459,1136.32,3318.51,8080.62,458.391,520.569,6.00,66.8376,0.938967,148.00,0.666667,1.22,75.5006,40.871,1.01664
2,15336.3,1.00,20.00,41.00,238.75,392.52,93.00,0.756355,2287.97,5132.18,4526.95,439.359,500.407,10.00,55.7998,0.923674,296.00,0.598763,1.3625,59.5573,53.2196,1.01954
2,11585.2,1.00,6.00,13.00,86.9,413.88,64.5,0.775484,1189.66,2627.61,3179.05,439.246,535.514,3.00,91.5077,0.910558,170.00,0.5,0.00,61.9196,43.7848,1.02513
2,8012.09,1.00,7.00,15.00,118.09,416.75,37.5,0.922318,1139.00,2815.25,2389.4,440.094,504.612,4.00,75.9287,0.929507,131.00,0.419048,0.00,60.7808,33.3318,1.01976
2,22629.4,1.00,10.00,21.00,292.04,338.87,52.5,0.826413,1245.44,3425.46,6130.53,349.83,387.246,6.00,59.3014,0.902769,214.00,0.608333,1.23,78.3499,73.7761,1.02737
2,26173.7,4.00,5.00,14.00,151.17,220.46,36.00,0.667783,874.984,2332.75,6659.84,186.561,217.764,2.00,62.4943,0.877004,203.00,0.4,1.535,79.6593,67.9946,1.03773
2,36885.8,8.00,16.00,40.00,136.28,143.14,61.5,0.711078,1533.84,4278.87,9643.62,140.337,216.284,7.00,38.3402,0.828115,371.00,0.510417,1.812,96.2618,87.7255,1.05359
2,33315.6,5.00,14.00,33.00,146.00,203.25,49.5,0.797298,1633.09,4699.09,8902.88,200.827,237.083,3.00,49.4821,0.885513,359.00,0.5,1.002,87.6421,60.5687,1.03907
2,19418.00,7.00,19.00,45.00,229.84,355.07,52.5,0.593493,2617.58,5207.76,5497.66,265.15,310.073,3.00,58.1636,0.870148,540.00,0.526316,1.64111,95.5038,62.7526,1.03018
2,25014.5,4.00,12.00,28.00,234.18,317.98,42.00,0.83811,1583.14,4259.7,6737.64,199.703,235.938,3.00,56.5354,0.909769,254.00,0.527778,1.7675,76.9165,62.8623,1.02563
2,15817.9,5.00,6.00,17.00,184.39,196.00,57.00,0.612256,1087.15,2459.62,4142.54,171.705,197.749,3.00,63.9441,0.899496,305.00,0.666667,1.73,81.3097,63.0134,1.03019
2,23298.4,6.00,14.00,34.00,143.79,260.35,54.79,0.67491,1673.81,3847.51,6182.84,184.513,205.674,3.00,49.2241,0.885707,343.00,0.428571,1.207,82.3202,59.742,1.03561
2,31712.3,4.00,13.00,30.00,161.01,252.7,46.5,0.720192,1177.32,3259.07,8169.01,223.01,259.278,5.00,39.2383,0.881822,261.00,0.461538,2.955,86.8998,71.6573,1.0442
2,30322.3,6.00,12.00,30.00,189.96,260.71,79.5,0.645852,1798.94,3942.47,7918.76,222.087,256.645,3.00,59.9597,0.892377,311.00,0.194444,1.20071,81.8486,69.6902,1.02813
