,mean,std
class,2.0,0.0
m1,14475.123008928571,10812.066958459
m2,3.7767857142857144,2.7597813643281923
m3,10.232142857142858,4.435690918600384
m4,24.241071428571427,9.696517007923108
m5,144.71651785714286,51.11974942680312
m6,254.20883928571428,88.4986672851813
m7,40.84125,17.725132669550124
m8,0.7717426160714285,0.15191297080273472
m9,1214.0335625,496.6379255688488
m10,3048.968544642857,1246.5140390082297
m11,4000.462866071429,2762.760370468091
m12,235.64013035714288,98.54233125619628
m13,280.35873125,115.64740155365703
m14,4.571428571428571,2.2489808931858573
m15,51.68295892857144,13.156719672845107
m16,0.9018138125,0.025385102195363163
m17,272.54464285714283,110.81832290629195
m18,0.51747751875,0.15541244632436926
m19,1.3567455625,1.0568107615145699
m20,75.78912232142856,11.224138796448024
m21,62.59254107142857,13.013822305149617
m22,1.0312000892857143,0.010258148814921405
