,mean,std
class,1.0,0.0
m1,26488.817053571427,14266.627311239372
m2,1.0267857142857142,0.16218227031056387
m3,17.714285714285715,5.228867500812709
m4,36.455357142857146,10.434599750032195
m5,190.49875,69.41937824484529
m6,326.8372321428572,90.73807198020225
m7,109.26580357142858,31.090954005467204
m8,1.1895092857142855,0.21283998639765853
m9,2038.7713124999998,579.363514309788
m10,8464.742142857143,2230.3189782215427
m11,9267.716071428571,3932.0852898286844
m12,361.8432142857143,84.2929960291796
m13,424.6795,92.90669319191085
m14,8.383928571428571,2.1234237851706785
m15,56.835695535714294,11.037520397111235
m16,0.9101847410714285,0.018826113684557513
m17,689.1517857142857,230.94097408276428
m18,0.5447427232142857,0.09845778877633045
m19,2.546211785714285,0.5352645485577467
m20,70.97287857142857,8.80390334472843
m21,58.34770535714285,7.841113173659286
m22,1.0282674107142857,0.007913473826959568
