class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
1.00,17523.20,1.00,5.00,11.00,66.92,70.89,37.48,1.76,234.80,1262.04,4437.60,97.92,112.86,4.00,21.34,0.92,37.00,0.80,0.82,83.09,99.61,1.03
1.00,17523.20,1.00,9.00,19.00,70.70,162.04,94.82,0.64,669.22,1669.49,4534.63,181.13,217.88,5.00,35.22,0.92,144.00,0.53,0.89,75.76,61.78,1.03
1.00,17523.20,1.00,1.00,3.00,55.94,17.73,10.09,3.19,80.37,1118.42,4423.15,57.86,62.63,0.00,26.78,0.97,19.00,1.00,0.00,0.00,0.00,1.02
1.00,17523.20,1.00,3.00,7.00,18.95,88.54,10.31,3.94,132.10,1706.84,4860.06,80.19,85.20,2.00,18.87,0.97,22.00,0.67,0.61,58.73,60.91,1.02
1.00,54617.40,1.00,3.00,7.00,58.52,49.60,29.73,3.13,189.07,2856.45,14076.30,75.55,88.39,2.00,27.00,0.93,38.00,0.67,1.36,58.96,45.25,1.03
1.00,54617.40,1.00,6.00,13.00,90.96,102.84,52.91,1.63,461.90,3420.44,14297.30,115.40,149.58,3.00,35.53,0.92,92.00,0.50,0.98,54.90,56.32,1.04
1.00,54617.40,1.00,2.00,5.00,89.04,31.85,3.24,8.71,138.99,3901.66,16358.20,91.07,92.24,1.00,27.79,0.99,15.00,0.50,1.35,42.46,25.68,1.00
1.00,12564.70,1.00,1.00,3.00,49.73,88.22,39.59,1.53,142.13,894.44,3150.28,110.78,126.26,0.00,47.37,0.96,37.00,1.00,0.00,0.00,0.00,1.03
1.00,12564.70,1.00,12.00,25.00,118.46,136.17,88.57,0.45,992.12,1797.23,3348.22,151.19,182.05,6.00,39.68,0.89,297.00,0.50,0.90,52.78,51.23,1.04
1.00,12564.70,1.00,5.00,11.00,102.91,79.48,66.36,0.59,440.98,1249.10,3253.48,127.51,173.01,3.00,40.08,0.86,146.00,0.47,0.63,72.21,77.29,1.06
1.00,12564.70,1.00,7.00,15.00,98.29,237.58,52.91,0.57,699.03,1956.73,3633.46,145.34,199.02,4.00,46.60,0.89,212.00,0.42,0.74,64.22,59.49,1.04
1.00,19885.10,1.00,3.00,7.00,111.64,51.40,34.13,1.06,258.40,1439.61,5082.53,122.94,164.30,2.00,36.91,0.90,75.00,0.67,1.00,84.98,61.60,1.05
1.00,19885.10,1.00,1.00,3.00,12.51,18.50,5.58,8.80,34.82,1153.45,5001.30,15.74,16.32,0.00,11.60,0.98,7.00,1.00,0.00,0.00,0.00,1.02
1.00,19885.10,1.00,3.00,7.00,93.17,113.73,100.25,0.80,346.72,1331.68,4996.50,120.51,157.09,2.00,49.53,0.87,95.00,0.67,0.63,30.89,93.92,1.06
1.00,19885.10,1.00,3.00,7.00,70.91,172.94,53.26,0.77,436.53,1552.00,5073.41,188.87,254.15,2.00,62.35,0.86,123.00,0.67,1.00,55.85,44.06,1.04
1.00,19885.10,1.00,1.00,3.00,51.51,57.32,30.40,1.94,108.80,1123.21,4973.33,77.16,90.31,0.00,36.26,0.95,31.00,1.00,0.00,0.00,0.00,1.02
1.00,19885.10,1.00,1.00,3.00,53.83,69.11,39.65,6.21,136.85,2569.81,6716.44,87.60,118.35,0.00,45.61,0.91,18.00,1.00,0.00,0.00,0.00,1.05
1.00,5767.45,1.00,2.00,5.00,63.12,94.60,30.73,1.08,168.98,585.07,1450.58,108.74,132.44,1.00,33.79,0.93,41.00,0.50,0.00,69.53,51.79,1.03
1.00,5767.45,1.00,2.00,5.00,75.11,142.79,32.44,0.60,349.19,738.76,1486.09,161.08,192.09,1.00,69.84,0.92,95.00,0.50,0.00,50.53,28.13,1.03
1.00,5767.45,1.00,7.00,15.00,59.80,136.97,39.88,0.62,442.44,951.93,1569.67,137.62,179.79,4.00,29.49,0.93,113.00,0.42,0.81,66.48,59.33,1.05
1.00,18970.50,1.00,2.00,5.00,54.15,101.03,66.59,1.94,197.12,1214.96,4759.68,131.51,160.76,1.00,39.42,0.94,32.00,0.50,1.00,48.60,36.68,1.03
1.00,18970.50,1.00,3.00,7.00,72.42,161.86,57.85,0.99,378.23,1371.08,4777.42,178.00,212.89,2.00,54.03,0.92,72.00,0.67,0.00,52.06,44.79,1.04
1.00,18970.50,1.00,9.00,19.00,145.62,127.29,58.65,0.52,839.96,1691.02,4813.77,161.29,191.94,4.00,44.20,0.91,174.00,0.49,1.05,75.41,54.63,1.03
1.00,18970.50,1.00,5.00,11.00,138.78,138.12,54.27,1.25,460.30,2553.69,6125.52,146.51,216.42,4.00,41.84,0.92,104.00,0.80,0.81,66.06,64.29,1.04
1.00,9619.29,1.00,5.00,11.00,104.79,98.89,81.85,0.64,421.28,991.69,2439.67,149.47,172.85,4.00,38.29,0.91,104.00,0.80,0.85,57.13,37.36,1.03
1.00,9619.29,1.00,6.00,13.00,94.34,106.63,57.58,0.56,506.01,1129.56,2463.72,131.85,180.59,4.00,38.92,0.87,142.00,0.58,1.46,74.58,55.28,1.04
1.00,9619.29,1.00,17.00,35.00,136.34,136.06,81.59,0.50,1100.73,2246.50,3340.36,170.05,208.06,10.00,31.45,0.88,277.00,0.62,0.60,78.50,65.58,1.04
1.00,13205.60,1.00,4.00,9.00,91.96,94.52,43.01,0.87,313.58,1082.91,3339.66,103.65,130.20,3.00,34.84,0.90,78.00,0.75,1.06,69.26,57.40,1.04
1.00,13205.60,1.00,4.00,9.00,41.93,92.15,55.71,1.04,268.07,1067.42,3327.73,102.99,122.89,3.00,29.78,0.91,65.00,0.75,1.71,80.15,64.80,1.03
1.00,13205.60,1.00,2.00,5.00,72.43,79.27,20.35,1.62,180.82,941.02,3311.05,99.29,113.25,1.00,36.16,0.97,34.00,0.50,0.63,95.00,66.27,1.01
1.00,13205.60,1.00,1.00,3.00,10.07,34.16,60.30,2.56,94.70,962.19,3323.48,66.11,78.56,0.00,31.56,0.95,23.00,1.00,0.00,0.00,0.00,1.05
1.00,13205.60,1.00,4.00,9.00,24.34,57.14,44.15,1.71,187.74,1132.11,3408.10,67.41,91.16,2.00,20.85,0.83,40.00,0.25,1.10,86.82,52.13,1.07
1.00,13205.60,1.00,1.00,3.00,7.84,24.09,23.11,9.15,46.65,1231.02,3773.73,29.19,30.51,0.00,15.54,0.99,7.00,1.00,0.00,0.00,0.00,1.01
1.00,5691.39,1.00,4.00,9.00,104.24,105.53,40.52,0.62,417.77,850.02,1490.49,129.04,154.17,3.00,46.41,0.91,103.00,0.75,0.72,58.93,55.50,1.03
1.00,5691.39,1.00,2.00,5.00,91.54,39.13,42.55,1.11,200.89,693.39,1454.17,105.78,131.35,1.00,40.17,0.92,47.00,0.50,0.57,49.52,22.86,1.02
1.00,5691.39,1.00,2.00,5.00,47.13,89.68,31.24,1.22,177.03,666.03,1463.84,84.00,132.96,1.00,35.40,0.90,39.00,0.50,0.00,130.33,105.72,1.05
1.00,5691.39,1.00,1.00,3.00,17.05,12.19,18.05,7.12,42.17,898.94,1933.96,24.95,29.98,0.00,14.05,0.94,9.00,1.00,0.00,0.00,0.00,1.06
1.00,9315.39,1.00,3.00,7.00,81.60,111.07,49.37,1.40,256.98,1158.14,2427.02,116.84,140.78,2.00,36.71,0.93,56.00,0.67,1.48,53.72,74.05,1.02
1.00,9315.39,1.00,6.00,13.00,93.27,105.05,11.44,1.23,333.86,1174.89,2457.50,143.00,158.41,4.00,25.68,0.97,55.00,0.58,0.54,57.50,34.92,1.01
1.00,9315.39,1.00,3.00,7.00,45.80,24.58,10.84,3.48,91.95,772.72,2344.70,49.97,57.30,2.00,13.13,0.96,14.00,0.67,0.00,37.32,42.36,1.06
1.00,9315.39,1.00,7.00,15.00,151.17,94.01,73.17,0.91,546.64,1509.89,2482.34,132.27,170.27,5.00,36.44,0.91,97.00,0.57,0.73,77.08,56.46,1.03
1.00,9315.39,1.00,4.00,9.00,34.78,39.70,20.37,3.16,128.10,1162.52,2549.17,50.16,63.02,3.00,14.23,0.95,22.00,0.75,1.00,75.69,67.16,1.05
1.00,4775.73,1.00,17.00,35.00,245.07,64.68,161.11,0.43,1426.95,1808.71,1465.43,210.44,313.70,9.00,40.76,0.92,261.00,0.51,0.92,73.18,73.42,1.04
1.00,4775.73,1.00,5.00,11.00,56.97,29.37,54.54,1.12,222.51,595.41,1213.30,66.93,122.64,4.00,20.22,0.93,40.00,0.80,0.73,92.17,86.16,1.03
1.00,4775.73,1.00,5.00,11.00,106.10,31.12,163.39,0.95,468.56,1209.25,1328.30,175.88,206.22,3.00,42.59,0.92,79.00,0.47,0.91,57.97,50.05,1.04
1.00,4775.73,1.00,4.00,9.00,139.89,34.47,135.25,0.79,380.35,673.23,1230.77,144.33,159.27,3.00,42.26,0.96,62.00,0.75,0.30,72.47,51.45,1.01
1.00,5410.51,1.00,2.00,5.00,43.49,39.91,38.56,1.68,116.80,633.56,1378.88,64.90,71.88,1.00,23.36,0.94,30.00,0.50,0.00,35.08,43.35,1.04
1.00,5410.51,1.00,1.00,3.00,6.82,35.40,29.85,3.16,58.09,525.25,1362.05,41.91,46.11,0.00,19.36,0.97,13.00,1.00,0.00,0.00,0.00,1.03
1.00,5410.51,1.00,14.00,29.00,55.07,141.68,95.44,0.64,623.68,1381.81,1525.90,107.84,134.31,9.00,21.50,0.91,172.00,0.71,0.99,47.21,57.09,1.03
1.00,5410.51,1.00,2.00,5.00,83.30,40.66,19.77,1.42,162.35,772.61,1407.23,98.93,130.10,1.00,32.47,0.90,46.00,0.50,0.00,49.65,43.59,1.04
1.00,5410.51,1.00,1.00,3.00,16.26,11.99,6.59,5.13,34.04,522.06,1370.65,17.68,22.06,0.00,11.34,0.93,8.00,1.00,0.00,0.00,0.00,1.06
1.00,5410.51,1.00,2.00,5.00,142.42,83.39,23.46,1.43,228.20,978.01,1489.78,137.10,174.39,1.00,45.64,0.94,52.00,0.50,1.00,26.81,102.50,1.02
1.00,9477.78,1.00,1.00,3.00,67.33,66.72,19.11,2.09,116.21,844.13,2412.67,91.38,101.76,0.00,38.73,0.97,27.00,1.00,0.00,0.00,0.00,1.03
1.00,9477.78,1.00,4.00,9.00,94.31,105.78,68.27,0.90,378.62,1246.46,2463.76,134.35,152.42,2.00,42.06,0.91,97.00,0.25,1.62,38.10,47.71,1.03
1.00,9477.78,1.00,8.00,17.00,85.12,155.61,48.14,0.85,540.56,1470.78,2493.93,168.08,200.39,7.00,31.79,0.94,109.00,0.88,1.26,77.63,78.32,1.02
1.00,19935.40,1.00,5.00,11.00,87.51,119.64,39.38,1.39,396.50,1928.21,5175.74,118.54,140.91,4.00,36.04,0.95,71.00,0.80,1.56,55.53,46.00,1.02
1.00,19935.40,1.00,5.00,11.00,104.20,59.69,35.22,1.57,316.24,1755.88,5151.62,114.78,158.72,3.00,28.74,0.91,59.00,0.47,1.51,50.49,59.01,1.03
1.00,19935.40,1.00,3.00,7.00,51.79,59.61,27.94,1.96,169.29,1412.54,5053.40,65.44,80.49,2.00,24.18,0.90,42.00,0.67,1.58,58.73,52.62,1.04
1.00,19935.40,1.00,3.00,7.00,74.28,80.11,21.88,1.58,250.51,1683.56,5172.29,119.12,132.78,2.00,35.78,0.94,63.00,0.67,1.00,49.34,31.36,1.03
1.00,19935.40,1.00,6.00,13.00,108.13,146.44,36.81,1.22,425.74,1927.59,5287.91,158.44,179.90,4.00,32.74,0.95,75.00,0.58,0.75,49.26,46.62,1.01
1.00,14921.80,1.00,2.00,5.00,49.02,109.39,49.97,1.35,234.98,1149.61,3757.63,126.26,163.65,1.00,46.99,0.86,50.00,0.50,0.00,18.76,50.82,1.03
1.00,14921.80,1.00,1.00,3.00,11.57,125.24,32.46,1.78,178.72,1372.24,3886.86,129.46,161.91,0.00,59.57,0.93,48.00,1.00,0.00,0.00,0.00,1.03
1.00,14921.80,1.00,2.00,5.00,18.40,46.59,19.36,2.85,86.60,974.36,3739.71,44.02,62.28,1.00,17.32,0.89,20.00,0.50,1.00,85.38,48.27,1.07
1.00,14921.80,1.00,4.00,9.00,117.95,145.49,59.07,0.90,506.63,1609.19,3885.93,173.90,203.20,2.00,56.29,0.91,111.00,0.25,1.00,54.20,44.33,1.03
1.00,14921.80,1.00,3.00,7.00,132.80,101.65,24.52,1.37,285.37,1447.11,3843.80,159.97,190.19,2.00,40.76,0.91,66.00,0.67,0.75,116.83,84.47,1.04
1.00,14921.80,1.00,2.00,5.00,48.19,72.96,20.20,3.15,176.78,1807.19,4312.30,70.61,96.25,1.00,35.35,0.89,27.00,0.50,0.94,96.67,57.95,1.08
1.00,11061.10,1.00,4.00,9.00,78.46,41.27,60.89,1.00,264.61,970.50,2789.22,93.73,131.61,3.00,29.40,0.93,65.00,0.75,1.51,70.37,73.60,1.03
1.00,11061.10,1.00,4.00,9.00,22.69,85.56,63.32,1.07,215.67,949.88,2795.71,91.48,101.84,3.00,23.96,0.91,62.00,0.75,0.73,77.46,61.74,1.03
1.00,11061.10,1.00,3.00,7.00,63.37,83.93,32.03,0.88,216.27,897.93,2779.40,89.92,113.85,2.00,30.89,0.92,71.00,0.67,0.00,42.07,55.25,1.03
1.00,11061.10,1.00,11.00,23.00,104.64,145.59,104.80,0.74,749.29,2043.38,3131.45,140.83,195.39,6.00,32.57,0.91,153.00,0.45,1.03,57.72,67.89,1.04
1.00,7264.22,1.00,2.00,5.00,128.23,95.68,26.73,0.74,255.15,794.08,1849.33,109.97,135.71,1.00,51.03,0.94,88.00,0.50,0.67,35.88,92.65,1.02
1.00,7264.22,1.00,2.00,5.00,57.22,75.86,38.25,0.96,170.36,721.80,1840.35,88.08,119.63,1.00,34.07,0.91,56.00,0.50,0.76,60.91,110.60,1.05
1.00,7264.22,1.00,4.00,9.00,61.18,59.11,29.31,0.92,205.29,716.02,1836.77,71.19,101.28,3.00,22.81,0.91,58.00,0.75,0.90,57.77,63.32,1.04
1.00,7264.22,1.00,6.00,13.00,59.97,43.93,25.88,1.08,223.82,1120.54,2129.21,59.22,93.48,4.00,17.21,0.91,74.00,0.58,0.69,80.82,65.44,1.05
1.00,7730.53,1.00,3.00,7.00,84.25,101.84,33.48,0.86,276.84,863.41,1966.11,131.85,179.55,2.00,39.55,0.92,78.00,0.67,0.00,39.29,77.45,1.03
1.00,7730.53,1.00,2.00,5.00,61.86,99.45,7.11,0.97,190.91,775.76,1963.40,117.66,141.10,1.00,38.18,0.93,59.00,0.50,0.00,38.45,43.54,1.03
1.00,7730.53,1.00,7.00,15.00,58.36,73.65,54.54,0.70,340.53,919.61,1965.67,91.13,127.57,5.00,22.70,0.92,106.00,0.62,1.25,52.93,51.49,1.04
1.00,7730.53,1.00,1.00,3.00,12.93,13.50,9.01,8.37,31.50,611.05,1939.17,15.78,18.00,0.00,10.50,0.96,5.00,1.00,0.00,0.00,0.00,0.00
1.00,7730.53,1.00,2.00,5.00,19.10,138.05,24.98,1.36,175.00,827.49,1996.78,133.51,152.39,1.00,35.00,0.96,46.00,0.50,0.81,22.69,27.98,1.02
1.00,7730.53,1.00,1.00,3.00,55.99,41.11,5.98,2.22,87.56,651.72,1939.36,65.74,74.06,0.00,29.19,0.96,21.00,1.00,0.00,0.00,0.00,1.03
1.00,7730.53,1.00,1.00,3.00,10.45,30.69,5.82,4.29,42.34,603.41,1935.25,26.65,28.84,0.00,14.11,0.97,10.00,1.00,0.00,0.00,0.00,1.02
1.00,7730.53,1.00,1.00,3.00,6.64,25.58,21.12,5.24,44.50,738.18,2003.00,29.01,31.00,0.00,14.83,0.98,10.00,1.00,0.00,0.00,0.00,1.02
1.00,7730.53,1.00,6.00,13.00,103.12,36.29,48.56,1.72,255.34,1305.90,2207.33,83.36,102.55,4.00,19.64,0.96,45.00,0.56,0.72,63.23,74.86,1.03
1.00,17119.50,1.00,4.00,9.00,18.45,71.74,32.03,1.54,177.48,1215.49,4335.69,73.51,87.55,3.00,19.71,0.95,46.00,0.75,1.09,52.50,42.15,1.02
1.00,17119.50,1.00,6.00,13.00,49.88,111.68,62.49,1.05,309.32,1337.13,4354.85,122.68,147.68,4.00,23.79,0.95,73.00,0.56,0.85,72.85,57.96,1.02
1.00,17119.50,1.00,1.00,3.00,20.54,17.60,17.04,7.24,49.34,1074.56,4305.81,26.73,31.74,0.00,16.44,0.95,8.00,1.00,0.00,0.00,0.00,1.03
1.00,17119.50,1.00,8.00,17.00,61.55,143.40,46.36,1.60,435.43,2298.43,4770.48,148.49,153.94,5.00,25.61,0.94,72.00,0.44,1.37,57.49,60.81,1.04
1.00,17119.50,1.00,2.00,5.00,48.14,23.60,20.22,5.15,92.13,1230.09,4356.80,52.25,58.70,1.00,18.42,0.96,12.00,0.50,1.18,36.97,57.69,1.01
1.00,13994.60,1.00,4.00,9.00,37.40,35.47,34.91,2.07,138.02,1048.31,3552.25,44.26,54.63,3.00,15.33,0.98,29.00,0.75,0.56,59.90,65.17,1.02
1.00,13994.60,1.00,7.00,15.00,93.24,84.09,77.35,0.91,425.08,1495.83,3694.97,119.68,143.30,6.00,28.33,0.94,94.00,0.86,1.58,53.24,64.63,1.03
1.00,13994.60,1.00,1.00,3.00,5.56,21.30,0.12,10.42,30.70,911.41,3519.34,14.20,14.25,0.00,10.23,1.00,5.00,1.00,0.00,0.00,0.00,0.00
1.00,13994.60,1.00,3.00,7.00,46.76,64.01,46.50,1.98,145.44,1203.80,3650.88,73.72,95.17,2.00,20.77,0.91,34.00,0.67,0.85,99.55,108.11,1.05
1.00,14483.90,1.00,4.00,9.00,37.89,51.87,38.76,1.66,179.36,1148.68,3711.09,68.12,84.39,2.00,19.92,0.93,40.00,0.25,0.73,52.30,57.34,1.03
1.00,14483.90,1.00,4.00,9.00,45.98,54.11,28.94,1.69,187.66,1071.09,3655.71,48.71,87.64,3.00,20.85,0.94,36.00,0.75,0.97,82.78,82.67,1.01
1.00,14483.90,1.00,9.00,19.00,40.79,96.60,34.08,0.74,365.74,1191.60,3655.92,105.00,129.87,6.00,19.24,0.91,109.00,0.55,1.00,75.44,74.33,1.05
1.00,14483.90,1.00,1.00,3.00,7.12,18.38,12.26,8.92,34.62,937.46,3640.98,17.38,17.98,0.00,11.54,0.99,6.00,1.00,0.00,0.00,0.00,1.01
1.00,14483.90,1.00,1.00,3.00,21.76,65.62,33.78,5.03,109.67,1479.98,4046.50,66.85,93.02,0.00,36.55,0.91,15.00,1.00,0.00,0.00,0.00,1.05
1.00,15646.10,1.00,2.00,5.00,36.49,60.91,21.80,2.39,122.65,1150.20,3968.35,60.39,67.98,1.00,24.52,0.95,28.00,0.50,1.00,68.97,62.92,1.02
1.00,15646.10,1.00,3.00,7.00,25.71,62.84,26.96,3.65,117.50,1111.31,3966.11,61.68,65.07,2.00,16.78,0.97,16.00,0.67,0.41,50.11,53.48,0.00
1.00,15646.10,1.00,1.00,3.00,32.46,38.88,22.79,5.77,71.43,1283.49,4126.77,51.08,54.35,0.00,23.80,0.98,12.00,1.00,0.00,0.00,0.00,1.02
1.00,8077.44,1.00,3.00,7.00,41.15,19.72,7.26,2.88,85.65,744.41,2059.28,45.28,48.36,2.00,12.23,0.98,17.00,0.67,1.09,47.31,64.78,1.01
1.00,8077.44,1.00,3.00,7.00,31.97,109.35,57.56,1.44,232.11,1288.23,2376.46,123.37,151.39,2.00,33.15,0.92,51.00,0.67,0.00,49.63,44.90,1.04
1.00,8077.44,1.00,6.00,13.00,32.66,39.73,19.85,1.42,186.11,842.12,2081.31,50.05,62.54,3.00,14.31,0.92,39.00,0.50,0.84,74.34,63.51,1.09
1.00,10136.20,1.00,7.00,15.00,37.41,40.61,21.73,1.42,160.07,815.43,2547.39,46.33,54.57,4.00,10.67,0.95,38.00,0.60,0.50,67.69,57.49,1.04
1.00,10136.20,1.00,3.00,7.00,53.53,71.00,15.28,1.59,149.57,877.24,2570.29,87.79,119.07,2.00,21.36,0.93,36.00,0.67,0.57,120.71,89.65,1.04
1.00,10136.20,1.00,5.00,11.00,30.98,153.28,28.57,1.49,311.84,1632.54,2850.95,155.87,168.80,3.00,28.34,0.90,64.00,0.47,1.27,90.07,72.75,1.04
1.00,10775.00,1.00,3.00,7.00,92.17,95.26,7.87,1.03,245.61,1019.81,2738.82,96.45,122.97,2.00,35.08,0.93,64.00,0.67,0.91,63.36,42.03,1.04
1.00,10775.00,1.00,4.00,9.00,57.26,39.86,27.04,1.34,172.81,973.29,2766.32,63.54,76.91,3.00,19.20,0.92,48.00,0.75,1.00,54.68,51.95,1.02
1.00,10775.00,1.00,6.00,13.00,66.36,69.94,49.76,0.92,298.88,1007.58,2743.98,94.08,106.64,4.00,22.98,0.93,69.00,0.56,0.96,50.66,54.32,1.03
1.00,10775.00,1.00,4.00,9.00,39.58,88.66,92.73,1.59,220.64,1030.99,2754.07,130.68,151.13,3.00,24.51,0.93,39.00,0.75,1.07,48.33,77.98,1.02
1.00,10775.00,1.00,2.00,5.00,42.17,25.60,25.99,2.86,102.25,954.51,2755.13,49.60,55.31,1.00,20.45,0.96,21.00,0.50,0.86,32.61,19.23,1.01
1.00,12597.80,1.00,5.00,11.00,41.05,49.42,12.26,1.80,171.42,1020.86,3195.51,53.32,64.58,3.00,15.58,0.94,34.00,0.47,1.11,51.11,41.00,1.05
1.00,12597.80,1.00,3.00,7.00,52.79,40.13,16.82,2.34,132.66,966.17,3178.58,61.11,74.96,2.00,18.95,0.96,24.00,0.67,0.82,78.09,73.08,1.03
1.00,12597.80,1.00,2.00,5.00,32.12,80.62,26.82,2.69,132.88,923.14,3165.54,77.13,95.89,1.00,26.57,0.91,20.00,0.50,0.00,117.97,138.89,1.05
1.00,12597.80,1.00,1.00,3.00,5.65,21.29,7.18,8.54,33.36,858.27,3168.87,16.18,17.47,0.00,11.12,0.98,6.00,1.00,0.00,0.00,0.00,1.02
1.00,12597.80,1.00,1.00,3.00,65.66,43.24,14.23,5.99,94.72,1210.68,3329.37,75.89,78.83,0.00,31.57,0.99,10.00,1.00,0.00,0.00,0.00,1.01
1.00,10151.60,1.00,4.00,9.00,80.35,53.89,42.64,0.98,320.39,1010.99,2582.37,101.14,124.50,3.00,35.59,0.87,64.00,0.75,0.90,39.55,37.62,1.04
1.00,10151.60,1.00,6.00,13.00,35.89,93.90,69.83,0.67,346.17,897.86,2551.49,120.89,143.32,4.00,26.62,0.87,91.00,0.56,1.07,66.80,57.20,1.07
1.00,10151.60,1.00,9.00,19.00,81.81,235.01,52.06,0.93,532.14,1972.90,2927.46,249.52,268.89,4.00,28.00,0.93,106.00,0.33,1.17,52.39,51.15,1.04
1.00,9278.87,1.00,1.00,3.00,22.64,80.97,16.56,2.02,112.55,842.60,2369.38,76.84,98.20,0.00,37.51,0.93,27.00,1.00,0.00,0.00,0.00,1.08
1.00,9278.87,1.00,8.00,17.00,59.94,79.15,40.84,1.07,361.58,1259.94,2482.58,86.87,118.64,5.00,21.26,0.90,76.00,0.67,0.90,86.70,61.87,1.04
1.00,9278.87,1.00,7.00,15.00,44.73,110.83,30.87,1.74,276.79,1503.61,2792.25,103.77,118.10,5.00,18.45,0.95,54.00,0.66,0.68,64.33,69.17,1.03
1.00,20244.50,1.00,3.00,7.00,100.90,87.17,40.34,1.45,306.89,1605.90,5372.50,100.60,143.91,2.00,43.83,0.83,55.00,0.67,0.42,101.21,69.86,1.05
1.00,20244.50,1.00,7.00,15.00,61.95,91.87,32.92,0.86,370.05,1492.74,5135.45,95.92,114.68,3.00,24.66,0.91,106.00,0.31,0.95,60.89,60.01,1.03
1.00,20244.50,1.00,3.00,7.00,33.88,41.67,33.18,2.66,135.35,1306.52,5098.41,50.26,67.96,2.00,19.33,0.93,26.00,0.67,1.51,100.86,88.81,1.03
1.00,20244.50,1.00,4.00,9.00,42.03,83.76,42.63,2.34,201.52,1714.06,5453.14,84.60,123.04,3.00,22.39,0.92,39.00,0.75,0.61,80.96,71.10,1.05
1.00,7837.42,1.00,6.00,13.00,42.22,80.11,49.01,0.77,287.90,807.61,1988.21,96.47,113.02,3.00,22.14,0.92,76.00,0.25,0.67,66.81,61.64,1.03
1.00,7837.42,1.00,1.00,3.00,15.76,41.32,11.97,3.77,64.24,659.07,1969.71,38.19,50.68,0.00,21.41,0.92,12.00,1.00,0.00,0.00,0.00,1.09
1.00,7837.42,1.00,4.00,9.00,50.39,86.37,41.06,0.95,227.54,844.62,2019.96,84.26,128.16,3.00,25.28,0.91,59.00,0.75,0.50,60.90,67.53,1.05
1.00,7837.42,1.00,6.00,13.00,50.61,68.70,28.10,0.86,260.40,802.57,1989.17,76.97,95.24,3.00,20.03,0.91,67.00,0.50,0.75,73.09,57.35,1.03
1.00,7837.42,1.00,4.00,9.00,66.97,57.99,72.12,0.90,260.12,903.77,2078.06,89.00,130.02,3.00,28.90,0.91,75.00,0.75,1.00,88.41,84.00,1.04
1.00,7869.15,1.00,7.00,15.00,86.33,101.76,105.21,0.64,409.21,938.87,2013.19,120.89,149.73,3.00,27.28,0.91,111.00,0.31,1.11,73.99,59.75,1.02
1.00,7869.15,1.00,11.00,23.00,77.45,109.77,87.14,0.59,728.27,1529.06,2273.43,129.51,193.60,6.00,31.66,0.89,169.00,0.52,0.92,50.71,63.64,1.05
1.00,7869.15,1.00,1.00,3.00,14.29,32.34,15.03,4.62,55.16,685.75,1990.64,32.26,41.57,0.00,18.38,0.93,10.00,1.00,0.00,0.00,0.00,1.08
1.00,7869.15,1.00,7.00,15.00,46.48,67.54,82.48,1.03,322.63,1347.30,2364.54,92.20,135.90,5.00,21.50,0.92,87.00,0.66,0.72,80.60,92.78,1.04
1.00,4097.12,1.00,1.00,3.00,32.73,23.30,66.87,2.24,95.70,442.37,1029.02,76.56,84.77,0.00,31.90,0.97,16.00,1.00,0.00,0.00,0.00,1.03
1.00,4097.12,1.00,1.00,3.00,15.26,10.93,12.06,5.05,31.15,472.21,1061.46,19.70,20.22,0.00,10.38,0.99,8.00,1.00,0.00,0.00,0.00,1.01
1.00,4097.12,1.00,1.00,3.00,52.50,64.22,50.20,0.98,141.77,444.88,1027.25,98.47,130.84,0.00,47.25,0.92,40.00,1.00,0.00,0.00,0.00,1.05
1.00,4097.12,1.00,5.00,11.00,73.45,78.24,52.80,0.45,433.13,731.34,1064.40,97.50,129.54,3.00,39.37,0.88,162.00,0.47,1.17,63.60,67.72,1.05
1.00,4097.12,1.00,8.00,17.00,152.50,122.74,75.36,0.43,714.51,1182.49,1203.31,150.88,183.56,5.00,42.03,0.88,198.00,0.52,0.76,57.15,58.53,1.05
1.00,14557.00,1.00,5.00,11.00,75.95,103.94,41.15,0.79,408.84,1320.45,3739.45,120.68,151.35,3.00,37.16,0.84,99.00,0.47,0.88,57.24,45.15,1.06
1.00,14557.00,1.00,3.00,7.00,68.37,169.96,73.76,1.13,387.50,1526.79,3850.43,174.83,211.34,2.00,55.35,0.90,72.00,0.67,0.76,56.55,40.02,1.04
1.00,14557.00,1.00,1.00,3.00,2.96,28.31,3.19,6.83,37.88,931.14,3652.76,20.25,21.21,0.00,12.62,0.98,8.00,1.00,0.00,0.00,0.00,1.01
1.00,14557.00,1.00,8.00,17.00,48.03,85.56,83.80,0.72,506.62,1438.74,3773.47,109.84,127.99,3.00,29.80,0.89,121.00,0.13,1.04,73.92,69.25,1.04
1.00,14557.00,1.00,8.00,17.00,103.56,129.46,47.15,1.03,617.74,2360.19,4680.62,135.63,202.84,5.00,36.33,0.89,114.00,0.44,0.81,79.42,73.56,1.04
1.00,46140.70,1.00,4.00,9.00,51.17,140.37,63.00,1.88,354.68,2666.20,11781.10,143.42,174.61,3.00,39.40,0.92,62.00,0.75,1.21,64.68,54.27,1.03
1.00,46140.70,1.00,1.00,3.00,4.23,33.84,6.22,15.31,47.65,1995.46,11577.80,22.87,23.17,0.00,15.88,1.00,5.00,1.00,0.00,0.00,0.00,0.00
