class,name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21
5,Culture-460-6.CNG.swc_1-CNG,12922.8,1,6,13,71.01,174.12,3.89,0.258417,528.343,919.195,3232.66,110.244,139.146,3,0.941345,254,0.5,0,73.4978,79.8368,1.01872
5,Culture-460-6.CNG.swc_2-CNG,12922.8,1,4,9,112.01,198.74,3.52,0.384856,487.245,910.156,3232.5,210.592,220.336,3,0.946439,152,0.75,0,55.6704,42.4773,1.01762
5,Culture-460-6.CNG.swc_3-CNG,12922.8,1,2,5,24.21,234.54,4.67,0.829651,317.68,872.867,3231.85,241.945,250.418,1,0.983898,63,0.5,0,56.5042,16.9768,1.00756
5,Culture-460-6.CNG.swc_4-CNG,12922.8,1,2,5,52.15,69.0613,2.62,1.08826,132.857,832.223,3231.14,75.1851,86.829,1,0.922391,47,0.5,0,64.8102,92.3218,1.03222
5,Culture-461-1.CNG.swc_1-CNG,8389.28,1,17,35,125.75,249.8,10.27,0.174573,1124.03,848.827,2101.59,190.506,223.694,7,0.928271,396,0.435294,0,88.7096,67.9509,1.02332
5,Culture-461-1.CNG.swc_2-CNG,8389.28,1,5,11,56.09,56.52,7.8,0.568928,218.355,649.658,2098.11,69.8225,83.8453,3,0.911151,83,0.466667,0,97.2307,90.0018,1.03507
5,Culture-461-1.CNG.swc_3-CNG,8389.28,1,6,13,76.12,75.78,6.55,0.420941,303.701,668.427,2098.44,78.7652,99.889,5,0.946476,118,0.833333,0,81.0956,78.2355,1.02206
5,Culture-461-1.CNG.swc_4-CNG,8389.28,1,2,5,41.76,44.5168,6.49,1.40584,93.7134,622.248,2097.63,58.7041,67.1808,1,0.93768,31,0.5,0,41.4926,51.676,1.0322
5,Culture-461-1.CNG.swc_5-CNG,8389.28,1,3,7,92.67,50.6632,5.91,0.637275,218.291,649.644,2098.11,93.8816,102.537,2,0.942878,73,0.666667,0,71.0859,51.7142,1.02234
5,Culture-461-3.CNG.swc_1-CNG,7852.72,1,3,7,170.14,223.63,4.45,0.372269,436.211,671.568,1964.81,271.712,293.995,2,0.961163,134,0.666667,0,70.5196,49.1771,1.01053
5,Culture-461-3.CNG.swc_2-CNG,7852.72,1,5,11,97.36,318.97,7.16,0.290131,616.36,711.184,1965.5,339.18,380.296,3,0.909393,184,0.466667,0,76.0011,90.2735,1.02733
5,Culture-461-3.CNG.swc_3-CNG,7852.72,1,6,13,130.4,277.8,10.8,0.244587,677.601,724.652,1965.73,280.709,299.195,4,0.949721,232,0.583333,0,78.9129,60.0043,1.01383
5,Culture-461-3.CNG.swc_4-CNG,7852.72,1,1,3,44.16,144.594,3.4,0.820076,191.174,617.681,1963.86,153.229,177.602,0,0.954254,54,1,0,0,0,1.0287
5,Culture-461-3.CNG.swc_5-CNG,7852.72,1,1,3,55.69,42.7257,3.62,1.83105,86.2156,594.6,1963.46,67.4918,72.6442,0,0.976358,23,1,0,0,0,1.03223
5,Culture-462-2.CNG.swc_1-CNG,21653.3,1,1,3,117.28,56.11,2.12,0.68164,192.159,1175.87,5413.99,126.566,173.128,0,0.910095,93,1,0,0,0,1.05857
5,Culture-462-2.CNG.swc_2-CNG,21653.3,1,4,9,115.81,167.58,3.36,0.282248,624.074,1270.86,5415.65,181.89,246.524,3,0.880343,268,0.75,0,61.7535,46.6037,1.0378
5,Culture-462-2.CNG.swc_3-CNG,21653.3,1,4,9,210.43,146.82,1.74,0.233456,789.312,1307.19,5416.29,180.7,375.53,3,0.814949,348,0.75,0,78.4558,77.2367,1.05882
5,Culture-462-3.CNG.swc_1-CNG,16713.4,1,4,9,74.93,26.73,4.23,1.0731,186.252,994.519,4179,80.8572,99.9348,3,0.917172,52,0.75,0,63.802,69.3481,1.03577
5,Culture-462-3.CNG.swc_2-CNG,16713.4,1,6,13,81.55,94.67,8.85,0.47751,430.602,1048.25,4179.94,85.1132,148.593,4,0.893865,128,0.555556,0,87.6215,73.4724,1.03093
5,Culture-462-3.CNG.swc_3-CNG,16713.4,1,6,13,67.11,82.9,13.44,0.6432,313.746,1022.56,4179.49,105.323,110.939,3,0.948729,91,0.5,0,93.6425,68.8036,1.01761
5,Culture-462-3.CNG.swc_4-CNG,16713.4,1,10,21,66.03,210.51,11.88,0.330806,732.405,1114.62,4181.1,180.662,198.665,7,0.914978,200,0.742857,0,67.2866,68.7013,1.02924
5,Culture-462-3.CNG.swc_5-CNG,16713.4,1,5,11,118.69,101.79,13.25,0.557488,374.636,1035.95,4179.72,144.51,160.229,3,0.929278,107,0.466667,0,42.2783,39.4723,1.01772
5,Culture-462-3.CNG.swc_6-CNG,16713.4,1,5,11,75.72,71.66,13.09,0.630874,307.875,1021.27,4179.47,73.5996,100.941,4,0.93184,93,0.8,0,80.057,79.307,1.02568
5,Culture-462-3.CNG.swc_7-CNG,16713.4,1,1,3,14.58,22.9885,4.96,3.7958,57.9866,966.312,4178.5,15.939,40.5295,0,0.797756,14,1,0,0,0,1.12339
5,Culture-462-4.CNG.swc_1-CNG,9984.15,1,4,9,110.16,52.15,3.21,0.663204,242.662,729.216,2496.91,89.9232,105.046,2,0.966598,74,0.25,0,111.614,106.402,1.01045
5,Culture-462-4.CNG.swc_2-CNG,9984.15,1,2,5,108.89,75.54,4.04,0.930727,206.187,721.194,2496.77,128.691,139.486,1,0.972284,51,0.5,0,23.8974,30.8158,1.01128
5,Culture-462-4.CNG.swc_3-CNG,9984.15,1,7,15,102.08,77.94,2.18,0.390417,383.978,760.293,2497.46,138.187,150.181,4,0.940716,137,0.6,0,55.0229,38.5053,1.02175
5,Culture-462-4.CNG.swc_4-CNG,9984.15,1,3,7,111.35,129.79,6.7,0.563226,306.966,743.357,2497.16,137.262,168.704,2,0.950489,89,0.666667,0,66.1511,47.5825,1.01736
5,Culture-462-4.CNG.swc_5-CNG,9984.15,1,10,21,151.33,164.44,5.47,0.252146,856.255,864.152,2499.28,190.042,210.097,4,0.941089,241,0.366667,0,98.0249,81.3765,1.02503
5,Culture-462-5.CNG.swc_1-CNG,25353.5,1,4,9,150.36,102.88,4.58,0.615138,440.159,1356.37,6340,176.901,187.916,2,0.968522,110,0.25,0,53.1459,36.4215,1.00964
5,Culture-462-5.CNG.swc_2-CNG,25353.5,1,5,11,173.91,98.8608,4.09,0.47517,568.007,1384.49,6340.5,204.448,215.464,3,0.96444,148,0.4,0,46.3123,37.2463,1.01209
5,Culture-462-5.CNG.swc_3-CNG,25353.5,1,1,3,124.64,113,3.52,1.24579,206.101,1304.9,6339.1,165.377,186.043,0,0.962973,51,1,0,0,0,1.0211
5,Culture-462-5.CNG.swc_4-CNG,25353.5,1,2,5,110.14,67.88,3.18,1.2693,211.96,1306.19,6339.13,113.07,125.03,1,0.979319,50,0.5,0,38.9054,59.6097,1.00931
5,Culture-462-5.CNG.swc_5-CNG,25353.5,1,8,17,241.12,102.39,9,0.356915,760.808,1426.89,6341.24,160.263,193.688,5,0.954966,209,0.520833,0,75.6197,69.4377,1.01342
5,Culture-462-7.CNG.swc_1-CNG,7075.44,1,9,19,148.77,183.014,13.29,0.208701,856.192,725.186,1772.1,204.545,225.818,4,0.956681,282,0.275132,0,70.1583,61.0396,1.01137
5,Culture-462-7.CNG.swc_2-CNG,7075.44,1,8,17,98.25,122.72,9.46,0.286098,498.786,646.589,1770.73,119.392,126.15,4,0.964339,181,0.458333,0,77.7452,66.5121,1.01228
5,Culture-462-7.CNG.swc_3-CNG,7075.44,1,2,5,50.4,96.26,11.59,0.613248,206.814,582.381,1769.6,103.907,110.81,1,0.970617,72,0.5,0,38.6163,23.9354,1.01236
5,Culture-462-7.CNG.swc_4-CNG,7075.44,1,12,25,241.55,256.11,13.15,0.191095,1122.83,783.822,1773.13,293.812,364.616,7,0.952561,323,0.57619,0,64.6081,57.5519,1.01557
5,Culture-462-8.CNG.swc_1-CNG,10920,1,2,5,117.83,139.51,12.44,0.608503,348.033,794.089,2731.28,177.561,186.944,1,0.965974,84,0.5,0,23.7818,16.846,1.01156
5,Culture-462-8.CNG.swc_2-CNG,10920,1,3,7,80.09,41.17,13.81,0.755367,207.314,763.143,2730.74,84.733,106.689,2,0.886434,66,0.666667,0,86.0737,60.5369,1.04267
5,Culture-462-8.CNG.swc_3-CNG,10920,1,4,9,171.35,139.45,12.21,0.496738,437.484,813.76,2731.63,206.932,217.981,3,0.96499,106,0.75,0,43.8379,28.7877,1.01332
5,Culture-462-8.CNG.swc_4-CNG,10920,1,4,9,98.1,116.08,3.74,0.665187,352.432,795.056,2731.3,130.818,137.434,2,0.982718,76,0.25,0,53.9515,52.6275,1.00548
