,mean,std,mean,std
class,1.0,0.0,2.0,0.0
m1,5868.969852345678,2875.1840298710044,4729.995864197532,6845.188360675547
m2,7.518518518518518,2.013151205890352,6.938271604938271,1.6305342606975917
m3,27.11111111111111,7.250862017718997,45.7037037037037,68.44147946319623
m4,61.74074074074074,14.962267356401718,87.6,125.13927430940113
m5,228.15382716049382,82.22514912677114,129.31395061728392,147.04749541966885
m6,467.79061728395055,160.01983657773243,254.16716049382714,216.5393301529457
m7,64.2204938271605,22.422694803548623,62.21913580246913,32.26073570137277
m8,0.500590987654321,0.09620476760151933,0.44404171604938275,0.10802629694503033
m9,3109.2225925925923,412.5877779599687,3050.3516049382715,4695.952332846464
m10,5239.427654320988,1236.0026828634634,4329.28061728395,4728.698073718163
m11,2207.785864197531,754.4831243286651,1464.1161111111112,2069.9428307910825
m12,447.75922222222226,135.65985703193485,172.86148148148146,177.34642713225935
m13,502.1723950617285,141.92129139206696,322.1212839506172,341.21440002593073
m14,8.45679012345679,3.574385900808869,8.4125,9.608400530759198
m15,52.54229382716049,11.839822542983336,45.53424320987654,21.37172059797677
m16,0.8922193086419753,0.02833918437457312,0.8723808395061728,0.04676667298366883
m17,2621.395061728395,344.8752194277064,2706.1604938271603,3989.1429388303136
m18,0.49185113580246914,0.10980864617127754,0.5256248271604937,0.10485085248923708
m19,2.3116540740740743,0.4350980919022105,0.9113371481481479,0.8041802293527103
m20,74.00044320987654,7.316353304941921,72.47008024691358,22.44322043960837
m21,68.52548395061729,8.964772874666942,57.49859753086419,26.395813685715275
m22,1.03283987654321,0.011459712310288087,1.0504179012345678,0.023995543060954538
