class,name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
10__050803d_finaltrace-CNG 4862.3 1 11 23 113.53 100.11 13 1.01629 355.799 1413.27 1445.57 111.071 134.219 7 15.4639 0.829464 307 0.650505 0 80.592 77.4574 1.07808
10__050803d_finaltrace-CNG 4862.3 1 15 31 99.82 55.5036 15 1.1612 407.425 1764.8 1583.63 93.8727 116.509 7 13.1381 0.839251 344 0.677778 0 78.524 68.582 1.07839
10__050803d_finaltrace-CNG 4862.3 1 4 9 35.93 21.5236 4 1.69485 85.7534 700.839 1307.81 33.9096 44.6195 3 9.52444 0.865533 56 0.75 1.7 112.589 57.7777 1.08516
10__050803e_finaltrace-CNG 4596.4 1 2 5 113.46 16.6862 7.09 2.24749 39.141 468.611 1160.73 15.8085 20.0813 1 7.822 0.94715 21 0.5 0 58.4343 10.6085 1.02653
10__050803e_finaltrace-CNG 4596.4 1 2 5 15.35 12.4362 9.59 2.32337 38.3651 466.832 1160.41 18.943 24.2067 1 7.668 0.933155 20 0.5 0 72.9181 32.5774 1.05327
10__050803e_finaltrace-CNG 4596.4 1 13 27 56.32 71.8762 17 0.937589 389.864 1425.97 1378.77 82.659 131.769 8 14.4341 0.841549 308 0.689311 2.67 76.81 55.6709 1.0633
10__050803e_finaltrace-CNG 4596.4 1 11 23 37.3 89.92 18 1.02995 358.826 1454.14 1422.65 70.6954 102.833 4 15.5961 0.869983 264 0.267677 0 86.5269 81.39 1.05585
10__050803e_finaltrace-CNG 4596.4 1 4 9 51.82 102.09 8.5 0.972487 267.918 1079.28 1293.04 110.69 148.112 2 29.7644 0.866221 204 0.25 0 91.1861 60.562 1.04902
10__050803e_finaltrace-CNG 4596.4 1 9 19 59.64 81.55 15.5 0.901468 371.466 1315.16 1334.66 88.3482 128.766 6 19.5447 0.85757 298 0.688889 0 85.6752 82.1639 1.05764
10__050803e_finaltrace-CNG 4596.4 1 1 3 14.76 25.1062 9 2.11364 45.3362 491.13 1167.2 25.0326 33.9837 0 15.1067 0.912202 24 1 0 0 0 1.08241
10__050803e_finaltrace-CNG 4596.4 1 13 27 64.99 83.3062 13.59 0.868485 381.622 1304.13 1323.92 85.2697 119.572 7 14.1289 0.812675 345 0.686869 2.505 81.4208 75.2981 1.09339
10__050803e_finaltrace-CNG 4596.4 1 3 7 11.16 31.6062 3.41 1.40014 65.2962 547.857 1179.76 28.2648 35.5669 2 9.32286 0.882925 53 0.666667 0 73.4066 50.7376 1.07776
10__050803e_finaltrace-CNG 4596.4 1 1 3 12.03 11.3524 2.91 3.60311 27.5129 456.667 1162.3 12.2185 16.1605 0 9.16667 0.91869 12 1 0 0 0 1.08734
